"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","zip.code","residential.units","commercial.units","total.units","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.date","sale.price","gross.square.feet","land.square.feet","furnished.at.time.of.sale","year_group"
"1",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6360,22,NA,"A5"," 8647 15TH AVENUE                          ",11228,1,0,1,1930,1," A5 ","3/31/15",758000,1428,1547,1,"< 1940"
"2",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6361,17,NA,"A5"," 55 BAY 10TH   STREET                      ",11228,1,0,1,1930,1," A5 ","6/15/15",778000,1660,1933,1,"< 1940"
"3",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6372,48,NA,"S1"," 1906 86TH   STREET                        ",11214,1,1,2,1931,1," S1 ","5/29/15",1365000,2090,1900,1,"< 1940"
"4",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6373,73,NA,"A1"," 50 BAY 23RD STREET                        ",11214,1,0,1,1930,1," A1 ","12/17/15",750000,1672,2417,1,"< 1940"
"5",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6374,49,NA,"S1"," 1964 86TH   STREET                        ",11214,1,1,2,1925,1," S1 ","5/6/15",1470000,2112,1725,1,"< 1940"
"6",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6374,51,NA,"S1"," 1970 86TH   STREET                        ",11214,1,1,2,1931,1," S1 ","4/30/15",1790000,2112,1725,1,"< 1940"
"7",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6398,39,NA,"A1"," 1638 BENSON AVENUE                        ",11214,1,0,1,1925,1," A1 ","7/24/15",820000,1825,3625,1,"< 1940"
"8",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6432,52,NA,"S1"," 8804 17TH AVENUE                          ",11214,1,1,2,1920,1," S1 ","12/7/15",1192000,2288,3394,1,"< 1940"
"9",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6440,35,NA,"S1"," 1942 BATH AVENUE                          ",11214,1,1,2,1910,1," S1 ","8/24/15",895000,1980,2013,1,"< 1940"
"10",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6442,34,NA,"S1"," 2018 BATH AVENUE                          ",11214,1,1,2,1925,1," S1 ","9/14/15",745000,1596,1198,0,"< 1940"
"11",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6460,69,NA,"A2"," 310 BAY 10TH STREET                       ",11228,1,0,1,1935,1," A2 ","10/8/15",855000,1399,3867,1,"< 1940"
"12",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6460,214,NA,"A5"," 8870 16TH AVENUE                          ",11214,1,0,1,1950,1," A5 ","11/2/15",620000,992,1760,1,"1940 - 1979"
"13",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6460,242,NA,"A5"," 1592 INDEPENDENCE AVENUE                  ",11228,1,0,1,1950,1," A5 ","10/21/15",750000,992,1844,1,"1940 - 1979"
"14",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6461,93,NA,"A5"," 277 BAY 14 STREET                         ",11214,1,0,1,1930,1," A5 ","11/20/15",762000,1204,1795,1,"< 1940"
"15",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6461,129,NA,"A5"," 308 BAY 14TH STREET                       ",11214,1,0,1,1950,1," A5 ","4/24/15",650000,992,1511,1,"1940 - 1979"
"16",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6462,22,NA,"S1"," 8836 BAY 16TH STREET                      ",11214,1,1,2,1960,1," S1 ","8/11/15",860000,2982,1865,1,"1940 - 1979"
"17",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6464,113,NA,"A9"," 287 BAY 20TH                              ",11214,1,0,1,1940,1," A9 ","6/23/15",675000,1320,1551,0,"1940 - 1979"
"18",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS","1",6466,93,NA,"A5"," 241 BAY 23RD STREET                       ",11214,1,0,1,1945,1," A5 ","3/4/15",610000,1120,1783,1,"1940 - 1979"
"19",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS","1",5763,20,NA,"A5"," 832 67TH   STREET                         ",11220,1,0,1,1935,1," A5 ","9/29/15",980000,1905,2000,1,"< 1940"
